iter	Logloss
0	0.6867425522
1	0.6807101855
2	0.6748732605
3	0.6694714884
4	0.6642896367
5	0.6590605061
6	0.654278867
7	0.649516538
8	0.6450852745
9	0.6408538585
10	0.6367600623
11	0.6329500536
12	0.6292306917
13	0.625626439
14	0.6223252966
15	0.6191861904
16	0.6161882204
17	0.6133330246
18	0.6105958641
19	0.6079844599
20	0.605481836
21	0.6031270322
22	0.6009085962
23	0.5986823366
24	0.5965703221
25	0.5945692439
26	0.5925770957
27	0.5907463686
28	0.5890003722
29	0.5874594246
30	0.585803606
31	0.5842549276
32	0.5828749992
33	0.5815040602
34	0.5802401768
35	0.5789496136
36	0.5777445806
37	0.5765811303
38	0.575345922
39	0.574357918
40	0.573343083
41	0.5723920515
42	0.5714614371
43	0.5705615636
44	0.5696791416
45	0.5689090664
46	0.5681709577
47	0.5674526344
48	0.5666920023
49	0.5660247952
50	0.5653780462
51	0.5647065035
52	0.5640535532
53	0.5634741622
54	0.5629028151
55	0.56240207
56	0.561949495
57	0.5614452615
58	0.5609127401
59	0.5604442316
60	0.5599563295
61	0.5595500258
62	0.5591119786
63	0.5587998324
64	0.5584219444
65	0.5580523818
66	0.5577465133
67	0.5573503617
68	0.5570230847
69	0.556684307
70	0.5564129451
71	0.5561384374
72	0.5558408147
73	0.5555086801
74	0.5552680996
75	0.5549669613
76	0.5546817921
77	0.5544148723
78	0.5542189157
79	0.5539469561
80	0.5537506105
81	0.5535286137
82	0.5532897493
83	0.5530220047
84	0.5528220838
85	0.5526122309
86	0.5523968907
87	0.5522061385
88	0.5520567298
89	0.5519192507
90	0.5517004591
91	0.5515008568
92	0.5513187028
93	0.551126744
94	0.5509464518
95	0.5508118656
96	0.550667925
97	0.5505166588
98	0.550343158
99	0.5502406692
100	0.5500961471
101	0.5499918455
102	0.5499016785
103	0.549745031
104	0.549591739
105	0.5494757617
106	0.5492904023
107	0.5491646922
108	0.5489947805
109	0.5488637575
110	0.5487742067
111	0.5486420208
112	0.5485258022
113	0.5484091516
114	0.5483004668
115	0.5481859683
116	0.548079913
117	0.5479250467
118	0.5478050816
119	0.5476764586
120	0.5475391255
121	0.5474695039
122	0.5474025459
123	0.5473095037
124	0.5472338994
125	0.5471145611
126	0.5470395273
127	0.5469501343
128	0.5468667648
129	0.5467860976
130	0.5467166305
131	0.5466046602
132	0.5465336856
133	0.5464843476
134	0.5464195389
135	0.5462931824
136	0.5461544027
137	0.5460645589
138	0.545997975
139	0.5459093752
140	0.545869275
141	0.5457594841
142	0.5456678719
143	0.5455497489
144	0.5454458436
145	0.5453764755
146	0.5453105138
147	0.545173764
148	0.5450843114
149	0.5450028599
150	0.5449193071
151	0.5448193765
152	0.5446733764
153	0.5446280885
154	0.5445676012
155	0.5444934374
156	0.5443756165
157	0.5443179041
158	0.5442502178
159	0.5441026978
160	0.5440303379
161	0.5439503924
162	0.543861054
163	0.5437698696
164	0.5437022671
165	0.5436234457
166	0.5435736207
167	0.5434803583
168	0.5433370702
169	0.5432626639
170	0.5431896347
171	0.5430559953
172	0.5429709499
173	0.5428472678
174	0.5427324996
175	0.5426568787
176	0.5425645729
177	0.5424504712
178	0.5423764035
179	0.5423228605
180	0.5422462732
181	0.5422069972
182	0.5421397017
183	0.5420467463
184	0.541937581
185	0.5419077995
186	0.5418346802
187	0.5417791196
188	0.541731726
189	0.5416783525
190	0.5415922056
191	0.5415056785
192	0.5413918367
193	0.5412542004
194	0.5411960441
195	0.5411108565
196	0.5410088359
197	0.5409315642
198	0.5408313992
199	0.5407628342
200	0.5407072336
