iter	Passed	Remaining
0	4	957
1	9	954
2	14	953
3	18	905
4	22	900
5	27	906
6	32	904
7	37	901
8	41	886
9	46	880
10	50	879
11	55	878
12	60	874
13	65	872
14	69	867
15	74	867
16	79	861
17	84	860
18	89	861
19	94	856
20	99	850
21	104	846
22	108	843
23	113	839
24	118	835
25	123	831
26	128	830
27	134	829
28	139	825
29	143	819
30	148	816
31	153	811
32	158	807
33	163	801
34	168	798
35	173	793
36	178	790
37	183	788
38	188	784
39	193	779
40	199	776
41	204	772
42	209	769
43	214	765
44	219	759
45	224	755
46	229	752
47	234	748
48	241	748
49	246	743
50	251	739
51	257	736
52	261	731
53	266	725
54	271	719
55	275	714
56	280	708
57	285	703
58	289	697
59	294	691
60	299	687
61	304	682
62	309	677
63	314	673
64	319	668
65	324	663
66	328	657
67	333	653
68	338	647
69	343	643
70	348	637
71	353	632
72	357	627
73	362	622
74	367	617
75	372	611
76	376	606
77	381	601
78	386	597
79	391	592
80	395	586
81	400	581
82	405	576
83	410	571
84	414	566
85	419	561
86	424	556
87	428	550
88	433	545
89	438	540
90	443	536
91	448	531
92	453	526
93	457	521
94	462	516
95	468	511
96	472	507
97	477	502
98	482	497
99	487	492
100	492	487
101	496	482
102	501	477
103	506	472
104	510	467
105	515	462
106	520	457
107	525	452
108	529	447
109	534	442
110	539	437
111	543	432
112	548	427
113	553	422
114	557	417
115	562	412
116	566	406
117	571	402
118	576	397
119	581	392
120	585	387
121	590	382
122	594	377
123	599	372
124	604	367
125	608	362
126	613	357
127	618	352
128	622	347
129	627	342
130	632	337
131	636	332
132	641	327
133	646	323
134	651	318
135	655	313
136	660	308
137	665	303
138	669	298
139	674	293
140	679	289
141	683	284
142	687	279
143	692	273
144	696	269
145	701	264
146	706	259
147	710	254
148	715	249
149	720	244
150	725	240
151	729	235
152	734	230
153	739	225
154	743	220
155	748	215
156	753	211
157	758	206
158	763	201
159	769	197
160	775	192
161	779	187
162	785	183
163	790	178
164	794	173
165	799	168
166	804	163
167	808	158
168	813	153
169	817	149
170	823	144
171	828	139
172	833	134
173	837	129
174	842	125
175	847	120
176	852	115
177	856	110
178	861	105
179	865	101
180	870	96
181	874	91
182	879	86
183	884	81
184	889	76
185	893	72
186	898	67
187	902	62
188	907	57
189	911	52
190	916	47
191	921	43
192	925	38
193	930	33
194	935	28
195	941	24
196	946	19
197	951	14
198	956	9
199	961	4
200	965	0
